,Charity_Legal_Name,Address_Line_1,Town_City,State,Postcode,Country,Charity_Website,Advancing_Education,Promoting_or_protecting_human_rights,Advancing_social_or_public_welfare,Children,Families,Females,Financially_Disadvantaged,Males,People_at_risk_of_homelessness
136,Australian-Asian Association of Victoria Scholarship Fund,220 Leicester St,Carlton,Victoria,3053,Australia,http://www.aaavic.asn.au/,Y,,,,,,,,
137,The Miller Foundation,33 Tourello Ave,Hawthorn East,Victoria,3123,Australia,,,,,,,,,,
138,SHREE JALARAM MANDAL VICTORIA (INC),56 Tangemere Way,Cranbourne East,Victoria,3977,Australia,,,,,,Y,Y,,Y,
139,Seymour Baptist Fellowship,Po Box 296,Seymour,Victoria,3661,Australia,seymourbaptistchurch.org.au,,,,Y,Y,Y,Y,Y,Y
140,The Trustee For Brougham Family Foundation,,,,,,,,,,,,,,,
141,Uca - Camperdown,24 Leura St,Camperdown,VIC,3260,,https://uccsm.webs.com/,,,,Y,Y,Y,Y,Y,Y
142,Terry and Maureen Hopkins Foundation,AET limited,ADELAIDE,SA,5001,AUSTRALIA,,,,,,,,,,
143,Sunbury Neighbourhood House Inc,531 Elizabeth Dr,Sunbury,Victoria,3429,Australia,http://sunburyhouse.com.au,,,Y,Y,Y,,,,
144,The Basin Community House Inc,21 Liverpool Rd,The Basin,,3154,Australia,www.thebasincommunityhouse.org.au,,,,,Y,Y,Y,Y,Y
145,Pigeons Projects Ltd,138 Nicholson St,Footscray,Victoria,3011,Australia,www.100storybuilding.org.au,,,,Y,,,Y,,
146,Mount Evelyn Presbyterian Church,30 Birmingham Road,Mount Evelyn,VIC,3796,Australia,mtevelynpc.org.au,,,,Y,Y,Y,Y,Y,Y
147,Goulburn Murray Lutheran Parish,Po Box 6094,Shepparton,Victoria,3632,Australia,,,,,,Y,Y,,Y,
148,Gethsemane Charity Incorporated,U 1 8 Smethurst St,Cranbourne,Victoria,3977,Australia,https://www.facebook.com/groups/314458585772512/,,,Y,Y,Y,Y,Y,Y,Y
149,Talbot Action Incorporated,15 Fraser St,Talbot,Victoria,3371,Australia,,,,,Y,Y,Y,Y,Y,
150,Anti-Violence Project Of Victoria Inc,Po Box 194,Flinders Lane,Victoria,8009,Australia,www.antiviolence.info,,,Y,,,,,,
151,St Brendan's School Coragulac,727 Corangamite Lake Road,Coragulac,VIC,3249,,,Y,,,Y,Y,Y,Y,Y,
152,Follow Baptist Church,30 Tivendale Rd,Officer,Victoria,3809,Australia,follow.church,,,,Y,Y,Y,Y,Y,Y
153,Autism Spectrum Australia (Aspect),The Zenith,Chatswood,New South Wales,2067,Australia,www.autismspectrum.org.au,,,Y,Y,Y,,,,
154,THE DIOCESE OF THE ARMENIAN CHURCH OF AUSTRALIA & NEW ZEALAND (PROPERTIES) LTD,10 Macquarie St,Chatswood,New South Wales,2067,Australia,,,,,Y,Y,,,,
155,The Camberwell Grammar School,43-65 Mont Albert Rd,Canterbury,Victoria,3126,Australia,http://www.cgs.vic.edu.au,Y,,,Y,,,,Y,
156,Preshil The Margaret Lyttle Memorial School.,Margaret Lyttle Mem School,Kew,Victoria,3101,Australia,https://www.preshil.vic.edu.au/,Y,,,Y,,Y,,Y,
157,Victorian Welfare Association,13-17 Kerferd Rd,Glen Iris,Victoria,3146,Australia,vwa.net.au,,,,,,,,,
158,Australian Lithuanian Foundation,Po Box 11,North Melbourne,Victoria,3051,Australia,,,,,Y,Y,Y,,Y,
159,Castlemaine & Maldon Railway Preservation Society,Platform 3,Castlemaine,VIC,3450,Australia,www.vgr.com.au,,,,,Y,,,,
160,St Michael's Grammar School,25 Chapel St,St Kilda,Victoria,3182,Australia,http://www.stmichaels.vic.edu.au,Y,,,Y,,,,,
161,GROW,1014 Logan Road,Holland Park,QLD,4121,Australia,www.grow.org.au,,,Y,Y,,Y,,Y,
162,The Trustee For The Mona Georgina Harris Perpetual Charitable Trust,U 2 13 Monash Ave,Balwyn,Victoria,3103,Australia,,,,,,Y,Y,Y,Y,Y
163,Waverley Community Learning Centre Inc,5 Fleet St,Mount Waverley,Victoria,3149,Australia,http://www.wclc.org.au,,,,Y,Y,Y,Y,Y,
164,The Potters House Christian Fellowship Geelong,2/29 Milton St,Bell Park,Victoria,3215,Australia,https://pottershousegeelong.com.au/,,,,Y,Y,Y,Y,Y,Y
165,Interserve Development Limited,Suite 17,BAYSWATER,VIC,3153,Australia,https://www.interserve.org.au,,,,,,Y,,Y,Y
166,Churchill & District News,1 Williams Ave,Churchill,Victoria,3842,Australia,http://cdnews.com.au,,,,Y,,,,,
167,Concern Australia Ministry Inc.,1/668 Somerville Road,Sunshine West,Victoria,3020,Australia,www.concernaustralia.org.au,,,,Y,,,,,
168,Melbourne Fatima Centre,205-207 Poath Rd,Murrumbeena,Victoria,3163,Australia,https://fatimasupplies.com.au/,,,,,Y,,,,
169,Baptcare Ltd,1193 Toorak Rd,Camberwell,Victoria,3124,Australia,www.baptcare.org.au,,,Y,Y,Y,,,,
170,Hawthorn Presbyterian Church,580 Glenferrie Rd,Hawthorn,Victoria,3122,Australia,www.hawthornchurch.org,,,,,,,,,
171,Australian College Of Rural And Remote Medicine,L1 324 Queen St,Brisbane City,Queensland,4000,Australia,www.acrrm.org.au.au,Y,,,,,,,,
172,Kyabram Hospital Auxilliary,Kyabram And Dist Mem Com Hosp,Kyabram,Victoria,3620,Australia,,,,,,,,,,
173,Re-Engineering Australia Foundation Ltd,U 7 20-22 Foundry Rd,Seven Hills,New South Wales,2147,Australia,www.rea.org.au,Y,,,Y,,,,,
174,Power Assist,410 Mia Mia-Derrinal Road,Derrinal,victoria,3523,Australia,www.powerassist.org.au,,,,,,,,,
