,Charity_Legal_Name,Address_Line_1,Town_City,State,Postcode,Country,Charity_Website,Advancing_Education,Promoting_or_protecting_human_rights,Advancing_social_or_public_welfare,Children,Families,Females,Financially_Disadvantaged,Males,People_at_risk_of_homelessness
3021,Menika Lanard Jandd Charitable Foundation,,,,,,,,,,Y,,Y,,,Y
3022,THE SANDEL FOUNDATION,66 Mcarthur Rd,Ivanhoe East,Victoria,3079,Australia,,,,,Y,Y,Y,Y,,Y
3023,Alfred Healthcare Trusts Ac Ff And E Michaelis Fund,GPO Box 2307,Melbourne,VIC,3001,AUSTRALIA,,,,,,,,,,
3024,Maryborough Sub-Branch Rsl,Po Box 274,Maryborough,Victoria,3465,Australia,,,,,,Y,,,,
3025,Foster Care Association Of Victoria Inc,U 1 398 Smith St,Collingwood,Victoria,3066,Australia,https://www.fcav.org.au/,,,Y,,Y,,,,
3026,The Australian Heart/Lung Transplants Association,,Kings Cross,New South Wales,1340,Australia,http://www.ahlta.com.au,,,,,Y,Y,Y,Y,
3027,The Trustee For Angel Foundation,967a High St,Armadale,Victoria,3143,Australia,,,,,,,Y,Y,Y,Y
3028,The Theodor Urbach Landscape Painting Prize,GPO Box 2307,Melbourne,VIC,3001,AUSTRALIA,,Y,,,,,,,,
3029,Andrews Community Kindergarten Inc,,,,,,,Y,,,,,,,,
3030,Linc Church Services Network Darebin Inc,734 High St,Reservoir,Victoria,3073,Australia,,,,,,,Y,Y,Y,Y
3031,The Torah Centre Inc,120 Hawthorn Rd,Caulfield North,Victoria,3161,Australia,,Y,,,Y,Y,,,,
3032,Austral Charitable Trust,"Level 5, 111 Cecil Street",South Melbourne,Victoria,3078,Australia,,,,,,Y,,Y,,
3033,Save Our Sons Ltd,Shop 3 570 New Canterbury Rd,Hurlstone Park,New South Wales,2193,Australia,www.saveoursons.org.au,,,,Y,Y,,,,
3034,PartnerSPEAK Limited,,,,,,www.partnerspeak.org.au,,,Y,,Y,Y,,,
3035,GREEK ORTHODOX ARCHDIOCESE OF AUSTRALIA  CEMETERY CHURCH OF ST. LAZARUS,790 FRANKSTON-DANDENONG ROAD,DANDENONG SOUTH,VIC,3175,AUSTRALIA,,,,,,,,,,
3036,Environment East Gippsland Incorporated,Locked Bag 3,Orbiost,VIC,3888,Australia,www.eastgippsland.net.au,,,,,Y,,,,
3037,Casey City Church Inc,426 Princes Hwy,Narre Warren,Victoria,3805,Australia,http://www.caseycity.church,Y,,Y,,Y,,Y,,Y
3038,Anglican Trusts Corporation Of The Diocese Of Gippsland,PO Box 29,Bruthen,VIC,3885,,www.gippslandanglicans.org.au,,,,,,,,,
3039,University Of The Third Age Baw Baw Inc,136 Princes Way,Drouin,Victoria,3818,Australia,u3abawbaw.org.au,,,,,,Y,,Y,
3040,The Cross Family Trust,GPO Box 2307,Melbourne,VIC,3001,AUSTRALIA,,,,,,,,,,
3041,Pascoe Vale Rsl Sub-Branch Inc,40 Cumberland Rd,Pascoe Vale,Victoria,3044,Australia,,,,Y,,Y,,,,
3042,Point Cook Community Baptist Church,Po Box 6080,Point Cook,,3030,Australia,pointcookbaptist.org.au,,,,Y,Y,Y,Y,,
3043,Wangal United Aboriginal Corporation,4 Moorookyle Avenue,TARNEIT,VIC,3029,AUSTRALIA,www.wangalunited.com.au/,,,Y,,,,,,
3044,WENDOUREE WEST EXODUS COMMUNITY,8 Primrose St,Wendouree,Victoria,3355,Australia,,,,,Y,Y,Y,Y,Y,Y
3045,The Trustee For Pricewaterhousecoopers Foundation Trust,One International Towers Sydney,Barangaroo,NSW,2000,Australia,https://www.pwc.com.au/about-us/social-impact.html,,,Y,Y,Y,,,,Y
3046,William Eastwood Thompson Estate,,,,,,,,,,,,,,,
3047,Lara Community Centre Inc,9 Waverley Rd,Lara,Victoria,3212,Australia,https://www.laracommunitycentre.org.au,,,,,,,,,
3048,St Thomas the Apostle Primary School Cranbourne East,5 Fiorelli Blvd,Cranbourne East,VIC,3977,,www.cranbourneeast.catholic.edu.au,Y,,,Y,,,,,
3049,Uca-Derrinallum,58 Main Street,Derrinallum,VIC,3325,Australia,,,,,,,Y,,Y,
3050,Seymour Railway Heritage Centre Inc,30,Seymour,VIC,3660,Australia,www.srhc.org.au,,,,Y,Y,Y,,Y,
3051,Lawrence Hirst Fund,,,,,,,,,,Y,Y,Y,Y,Y,
3052,Mooroopna Congregation of Jehovah's Witnesses,75-77 Echuca Rd,Mooroopna,VIC,3631,Australia,,,,,,,,,,
3053,Grace International Ministries,8 Ronans Rtt,Lynbrook,Victoria,3975,Australia,www.graceconnect.org.au,,,,,Y,,,,
3054,Wimmera Drug Rehabilatation Trust,95-97 Firebrace St,Horsham,Victoria,3400,Australia,,,,Y,,,,,,
3055,JEWISH LABOUR BUND INC,281 Hawthorn Rd,Caulfield,Victoria,3162,Australia,http://www.bundist.org,Y,,,Y,Y,,,,
3056,Mental Health Legal Ctre Inc,155 Pelham St,Carlton,Victoria,3053,Australia,https://mhlc.org.au,,,Y,,,Y,Y,Y,Y
3057,Everyman's Welfare Service,Army Logistic Training Centre,BANDIANA MILPO,VIC,3694,Australia,www.everymans.org.au,,,,,,Y,,Y,
3058,Aruma Services,"Level 3, 20-24 Wentworth Street",Parramatta,NSW,2150,AUSTRALIA,http://www.aruma.com.au,,,,,Y,,,,
3059,Moran Arts Foundation Ltd,,,,,Australia,,,,,,,,,,
3060,Eltham College,Eltham College,Research,Victoria,3095,Australia,www.elthamcollege.vic.edu.au,Y,,,Y,,,,,
3061,St Marys Coptic Orthodox College,St Mary's Coptic Orthodox Coll,Coolaroo,Victoria,3048,Australia,https://www.stmarys.vic.edu.au/,,,,Y,,,,,
3062,Heichal Hatorah Inc.,,,,,,,,,,,,,,,
3063,Challenge Cancer Support Network Inc,529-535 King St,West Melbourne,Victoria,3003,Australia,www.challenge.org.au,,,,Y,Y,Y,Y,Y,
3064,St Joseph's Catholic Church Beechworth,P.O. Box 201,Bendigo,VIC,3552,AUSTRALIA,,,,,,,,,,
3065,Lutheran Children's Homes,25 Brentford Sq,Forest Hill,Victoria,3131,Australia,,,,,,Y,Y,Y,Y,Y
3066,Schizophrenia Research Institute,139 Barker St,Randwick,New South Wales,2031,Australia,http://www.neura.edu.au/,,,,,,,,,
3067,Australian Indigenous Mentoring Experience Indigenous Corporation,Level 1,Redfern,NSW,2016,,aimementoring.com,,,,,,,,,
3068,St Marks Anglican Church Forest Hill,303 Canterbury Rd,Forest Hill,Victoria,3131,Australia,www.stmarksfh.org,,,,,Y,,,,
3069,Cherry Crescent Pre School Incorporated,Cherry Crescent Pre School,Braybrook,Victoria,3019,Australia,www.cherrycrescentpreschool.com.au,Y,,,,,,Y,,
3070,The Grace Foundation,89 Albion Rd,Box Hill,Victoria,3128,Australia,,,,,,,,,,
3071,Hills Community Child Care Inc.,Olinda Primary School,Olinda,Victoria,3788,Australia,http://hillschildcare.org.au/site/,,,,,,,,,
3072,The Trustee For Glenvale School Melton Pty Ltd,769 High Street,MELTON,VIC,3337,Australia,,Y,,,,,Y,,Y,
3073,Estate Edward Broadhurst,GPO Box 2307,Melbourne,VIC,3001,AUSTRALIA,,,,,,,,,,
3074,Kulture Break,Po Box 1654,Tuggeranong Dc,Australian Capital Territory,2901,Australia,www.kulturebreak.com,,,Y,Y,,Y,Y,Y,Y
3075,Kingsley College Inc.,U 1 23 Lakeside Dr,Broadmeadows,Victoria,3047,Australia,www.kingsley.edu.au,,,,,,Y,,Y,
3076,South Shepparton Community House Inc,11 Service St,Shepparton,Victoria,3630,Australia,http://www.southcom.org.au,,,,,Y,Y,Y,Y,Y
3077,Aged Care Services 19 (Goonawarra) Pty Ltd,L 12 135 King St,Sydney,New South Wales,2000,Australia,https://japara.com.au/,,,Y,,,,Y,,
3078,Interchange Incorporated,L 7 225 Bourke St,Melbourne,Victoria,3000,Australia,www.interchange.org.au,,,,Y,Y,,,,
3079,Kingsman Production,106 Triholm Ave,Laverton,Victoria,3028,Australia,,Y,,Y,,Y,,Y,,
3080,Biogrid Australia Limited,"Level 8, CMR Building, Royal Melbourne Hospital",Parkville,VIC,3052,Australia,www.biogrid.org.au,,,,,,,,,
3081,Playgroup Australia Limited,490 Northbourne Ave,Dickson,Australian Capital Territory,2602,Australia,www.playgroupaustralia.com.au,Y,,,,Y,,,,
3082,Yarra Energy Foundation Limited,V123,Fitzroy,VIC,3065,Australia,www.yef.org.au,,,Y,,Y,,,,
3083,Voice for Older Women (VOW),164 Vonda Youngman Dr,Tamborine,Queensland,4270,Australia,www.voiceforolderwomen.org,,,Y,,,Y,Y,,Y
3084,Precision Health Foundation Limited,1094 Doncaster Road,Doncaster East,Victoria,3109,Australia,https://www.precisionhealth.com.au/,,,,,,,,,
3085,The Trustee For Charles Sturt University Foundation Trust,Division of Finance,Wagga Wagga,NSW,2650,Australia,https://about.csu.edu.au/community/giving-to-csu,Y,,,,,,,,
3086,Indigenous Plumbing and Sanitation Foundation Limited,,,,,,,Y,,,,,,Y,,
3087,GRAND LODGE OF VICTORIA INC,29a Sun Cres,Sunshine,Victoria,3020,Australia,,,,Y,,,,,Y,
3088,The Trustee For Fletcher & Rena Jones Foundation,4 Antigua Rd,Hillarys,Western Australia,6025,Australia,,,,,,,,,,
3089,YESHIVAH CENTRE LIMITED,88 Hotham St,St Kilda East,Victoria,3183,Australia,https://www.ybr.vic.edu.au,Y,,,Y,Y,,,,
3090,St Francis Of Assisi Catholic Church Mill Park,290 Childs Rd,Mill Park,VIC,3082,,http://pol.org.au/millpark,,,,Y,Y,Y,Y,Y,Y
3091,Hanza Inc,302 153b High Street,Prahran,Victoria,3181,Australia,https://hanza.org.au,,,,,,,Y,,Y
3092,CHIN COMMUNITY VICTORIA INC,49a Mt Dandenong Rd,Ringwood East,Victoria,3135,Australia,ccv.org.au,,,Y,Y,Y,,Y,,
3093,ZONTA CLUB OF BENDIGO INCORPORATED,PO Box 730,Vic,,3552,,www.zontabendigo.org,,,Y,Y,Y,Y,Y,,Y
3094,The Trustee For Mukti Australia Overseas Aid Fund,PO Box 5079,Brandon Park,VIC,3150,AUSTRALIA,www.mukti.org.au,,,,Y,,Y,,,
3095,Lismore Sikh Temple Society Incorporated,174 Wilson Street,South Lismore,New South Wales,2480,Australia,,,,,,Y,Y,,Y,
3096,"A HELPING HAND, SUPPORTING PARTNERS OF LOST VETERANS INC.",199 Princes Way,Longwarry North,Victoria,3816,Australia,https://ahelpinghand.org.au,,,Y,Y,Y,Y,Y,Y,Y
3097,Sanctuary of Sentient Beings Inc,89 Wallaby Trk,Beremboke,Victoria,3342,Australia,sentientbeings.org.au,,,,,,Y,,Y,
3098,Daylesford RSL Sub-Branch Incorporated,,,VIC,,Australia,,,,Y,,,,,,
3099,Advance College of Education Incorporated,U 1 16 Henry Wilson Dr,Rosebud,Victoria,3939,Australia,www.advancecollege.vic.edu.au,Y,,,,,,Y,,
3100,SJT Training Aboriginal Corporation,11 Lillkirk Road,HERBERT,NT ,836,AUSTRALIA,,Y,,,,,,,,
3101,The Trustee For The Flynn Memorial Charitable Trust,McKean Park,Melbourne,VIC,3000,Australia,www.mckeanpark.com.au,,,,,,,,,
3102,Crossroad Christian Community Church Inc.,832-834 High Street Road,Glen Waverley,Victoria,3150,Australia,www.crossroad.org.au,,,,Y,Y,Y,,Y,
3103,BENDIGO DISTRICT RSL SUB-BRANCH PATRIOTIC FUND,ANZAC House 4 Collins Street,MELBOURNE,VIC,3000,,,,,,,,,,,
3104,St Mary MacKillop College,53 McRae Street,Swan Hill,VIC,3585,,,Y,,,Y,Y,Y,Y,Y,
3105,COLLIEWOBBLES RESCUE AND REHOMING AUSTRALIA INCORPORATED,1427 Mountain Hwy,The Basin,Victoria,3154,Australia,www.crra.net.au,,,,,,,,,
3106,Sarah Pendlebury Bursary,GPO Box 2307,Melbourne,VIC,3001,AUSTRALIA,,Y,,,,,,,,
3107,Penleigh & Essendon Grammar School Former Students Inc.,Po Box 417,Niddrie,Victoria,3042,Australia,www.pegs.vic.edu.au,Y,,,,,,,,
3108,Point Cook Congregation of Jehovah's Witnesses,81 Tatman Dr,Altona Meadows,Victoria,3028,Australia,,,,,,,,,,
3109,The Trustee For Mindshop Educational Trust,,,,,Australia,https://www.mindshopexcellence.com,Y,,,,,,,,
3110,Camperdown & District Hospital Auxiliary,51 Walls Street,Camperdown,VIC,3260,Australia,,,,,Y,Y,Y,,Y,
3111,Hattersley F Trust,GPO Box 2307,Melbourne,VIC,3001,AUSTRALIA,,,,,,,,,,
3112,Christ Church Anglican Church Dingley,387-405 Old Dandenong Rd,Dingley Village,Victoria,3172,Australia,www.ccd.org.au,,,,Y,Y,,,,
3113,Epping Rsl Sub Branch Of The Vic Returned Services League Of Australia,195 Harvest Home Rd,Epping,Victoria,3076,Australia,eppingrsl.com.au,,,Y,,Y,,,,Y
3114,Bendigo Diocesan Trusts Corporation,PO Box 2,Bendigo,VIC,3552,,www.bendigoanglican.org.au,,,,,,,,,
3115,Uca-Koornang Parish,117 Murrumbeena Rd,Murrumbeena,Victoria,3163,Australia,www.murrumbeenauniting.org.au,,,,Y,Y,,,,
3116,Kardinia Church Ballarat Campus,1-11 Kardinia Dr,Bell Post Hill,Victoria,3215,Australia,www.kardiniachurch.com,,,,,,,,,
3117,Watton Group,U 1 160 Ballan Rd,Werribee,Victoria,3030,Australia,www.facebook.com/groups/623296104872291/,,,Y,,,Y,,Y,
3118,Royal Grace Chapel worldwide,22 Walbrook Dr,Wyndham Vale,Victoria,3024,Australia,,,,Y,Y,Y,Y,,Y,
3119,Romanian Orthodox Episcopate Of Australia And New Zealand Inc,103 Porteous Rd,Harkness,Victoria,3337,Australia,https://www.roeanz.com.au/,,,,Y,Y,Y,,Y,
3120,St Martin De Porres Church,158 Military Road,Avondale Heights,VIC,3034,,http://pol.org.au/avondaleheights,,,,Y,Y,Y,Y,Y,Y
3121,Keysborough Learning Centre,Resurrection School,Keysborough,Victoria,3173,Australia,www.klckeys.com.au,Y,,Y,,Y,Y,Y,Y,Y
3122,PHILLIP ISLAND LAND CARE GROUP INC,2-4 Bass School Rd,Bass,Victoria,3991,Australia,https://www.phillipislandlandcare.org.au/,,,,,,,,,
3123,Saint Mary's Ethiopian Orthodox Tewahedo Church Inc,112-114 MILLS STREET,NORTH ALTONA,VIC,3025,Australia,,,,,,,,,,
3124,The Argo Foundation,44 Pirie Street,Adelaide,SA,5000,AUSTRALIA,,,,,,,,,,
3125,Reformed Church Of Box Hill Inc,28 Watts St,Box Hill,Victoria,3128,Australia,http://www.rcbh.org.au/,,,,,,,,,
3126,The Bridge Incorporated,Suite 3 Level 4 26 McCrae Street,Dandenong,VIC,3175,Australia,www.thebridgeinc.org.au,,,Y,,,Y,Y,Y,
3127,The Norwood (Dawn) Christadelphian Ecclesia,122-124 Mullum Mullum Rd,Ringwood,Victoria,3134,Australia,https://www.searchthebible.com.au/,,,,Y,Y,,,,
3128,Patriarchal Parish of the Holy Trinity of the Russian Orthodox Church,4 Park Rd,Oakleigh,Victoria,3166,Australia,http://www.holy-trinity.org.au,,,,,Y,,Y,,
3129,Trustees Of The Dominican Sisters Of St Cecilia Congregation,39 Regent St,Regents Park,New South Wales,2143,Australia,https://www.facebook.com/dominicansistersaustralia/,,,,Y,Y,Y,,,
3130,The Trustee for Empower 365,10-12 Cecil Street,Southbank,VIC,3006,Australia,https://empower365.com.au/,,,,,,,,,
3131,Mu De Cultural & Educational Foundation Inc,163 Brooklyn Rd,Brookfield,Victoria,3338,Australia,,,,,Y,Y,Y,Y,Y,
3132,Uca - Eltham Montmorency,810 Main Rd,Eltham,Victoria,3095,Australia,www.elthammontmorencyuca.org,,,,Y,Y,Y,,Y,
3133,St Augustine's Anglican Kindergarten Inc School Building Fund,24 Rostrevor Pde,Mont Albert North,Victoria,3129,Australia,,Y,,,,,,,,
3134,Uca - Forest Street Uniting Church Bendigo,,,,,Australia,,,,,,Y,Y,Y,Y,
3135,The Lyle Foundation,L 1 25 Burwood Rd,Hawthorn,Victoria,3122,Australia,,,,,Y,,,Y,,
3136,YESHIVAH CENTRE BUILDING FUND,88 Hotham St,St Kilda East,Victoria,3183,Australia,,Y,,,,,,,,
3137,Cranaplus Incorporated,189-191 Abbott Street,Cairns,QLD,4870,AUSTRALIA,,,,,,,,,,
3138,VOICE OF CHRIST FULL GOSPEL CHURCH MOOROOPNA INC,1 Morrell St,Mooroopna,Victoria,3629,Australia,,,,,,Y,,,,
3139,AIKENHEAD CENTRE FOR MEDICAL DISCOVERY LIMITED,St Vincents Hospital,Fitzroy,Victoria,3065,Australia,http://acmd.org.au/,,,,,,,,,
3140,We Are The Difference Pty Ltd,Purpose Studio,Perth,WA,6000,AUSTRALIA,the-difference.org,,,,,,,,,
3141,Rabita Centre Australia,160 Greigs Road,Rockbank,VIC,3335,Australia,,,,,,,Y,,Y,
3142,Melbourne Space Program Limited,333 Exhibition St,Melbourne,Victoria,3000,Australia,http://www.melbournespace.com.au,Y,,,,,,,,
3143,Samma Group Community Foundation Ltd,17 Batman St,West Melbourne,Victoria,3003,Australia,https://www.sammagroupfoundation.org.au/,,,Y,Y,Y,,Y,,Y
3144,The Trustee For Warrnambool Education Trust,90 Chatsworth Road,HAMILTON,VIC,3300,Australia,,Y,,,,,Y,,Y,
3145,Wonthaggi Neighbourhood Centre @ Mitchell House Inc.,6 Murray St,Wonthaggi,Victoria,3995,Australia,https://www.wonthaggineighbourhoodcentre.com,,,Y,Y,Y,Y,Y,Y,Y
3146,St Johns Presbyterian Church,28 Spence St,Warrnambool,Victoria,3280,Australia,https://www.warrnamboolpc.org.au/,,,,,,,,,
3147,COMPUTER SIMULATION & ADVANCED RESEARCH TECHNOLOGIES (CSART) LTD,36 Paddington St,Paddington,New South Wales,2021,Australia,www.csart-world.com,Y,,,Y,Y,Y,Y,Y,Y
3148,RAINBOW CLUB POINT COOK INC.,22 Skehan Bvd,Altona Meadows,Victoria,3028,Australia,http://www.rainbowclub.au/,Y,,Y,Y,Y,,,,
3149,Camberwell Chorale Inc,2 Corsewall Cl,Hawthorn,Victoria,3122,Australia,https://www.camberwellchorale.org.au/,,,,Y,,Y,,Y,Y
3150,Brenbeal Children's Centre Inc,8 Rayner St,Footscray,VIC,3011,Australia,https://brenbeal.org.au/,Y,,Y,,,,,,
3151,MAHAMEVNAWA BUDDHIST MEDITATION CENTRE - MELBOURNE-WEST LTD.,462 Duncans Road,Werribee South,Victoria,3030,Australia,https://mahamevnawamel-west.org.au/,,,,Y,Y,Y,Y,Y,
3152,THE PROJECT ROCKIT FOUNDATION LTD,,,,,,https://www.projectrockit.com.au/foundation,,,Y,Y,,Y,Y,Y,
3153,The Yom Huledet Club Limited,U 4 59-61 Birriga Rd,Bellevue Hill,New South Wales,2023,Australia,,,,,,Y,,Y,,Y
3154,ANTONINE COLLEGE LTD,71-93 Grandview Ave,Pascoe Vale South,Victoria,3044,Australia,,,,,Y,Y,,,,
3155,Scots' Presbyterian Church Of Australia Drouin,Cr Winters Ave and Church St,Drouin,VIC,3818,Australia,https://drouinpresbyterian.org.au/,,,,Y,Y,,,,
3156,Victorian Orthopaedic Foundation,45-53 Clarence St,Sydney,New South Wales,2000,Australia,www.vof.org.au,,,,,,,,,
3157,Western Port Christian Family Inc,99 The Crescent,Tyabb,Victoria,3913,Australia,http://wpcf.com.au,,,,Y,Y,Y,,Y,
3158,Lockington Community Care Committee Inc.,,,,,,,,,Y,,Y,,,,
3159,Meadow Heights Learning Shop Inc.,3-13 Hudson Cir,Meadow Heights,Victoria,3048,Australia,http://mhec.vic.edu.au,Y,,,,,Y,Y,Y,
3160,War Child Australia Limited,Po Box Q632,Queen Victoria Building,New South Wales,1230,Australia,www.warchild.org.au,,Y,,Y,,,,,
3161,Greenville Kindergarten Incorporated,58-62 Greenville Dr,Grovedale,Victoria,3216,Australia,https://www.bcyf.org.au/greenville-kindergarten/,Y,,,,,,,,
3162,Hopetoun RSL Sub-Branch Patriotic Fund,ANZAC House 4 Collins Street,MELBOURNE,VIC,3000,,,,,Y,,,,,,
3163,Ukrainian Autocephalous Orthodox Church Inc - Parish of Intercession of the Holy Virgin in Essendon,91a Buckley St,Moonee Ponds,Victoria,3039,Australia,,,,,,Y,,,,
3164,Dartmoor & District Bush Nursing Centre Inc,28 Ascot St,Dartmoor,Victoria,3304,Australia,http://www.home.glenelgnow.net.au/dartmoorbnc/,,,,Y,Y,Y,Y,Y,
3165,Price Leigh And May Trust,GPO Box 2307,Melbourne,VIC,3001,AUSTRALIA,,,,,,,,,,
3166,THE TRUSTEE FOR RUPERT STANLEY JOSEPH ESTATE,GPO Box 2307,Melbourne,VIC,3001,AUSTRALIA,,,,,,,,,,
3167,The Trustee For Stephanie's Gift,47 Davis Dr,Mount Eliza,Victoria,3930,Australia,,,,Y,Y,,,,,
3168,Associated Christian Spiritual Churches of Australia,PO Box 351,RIVERWOOD,NSW,2210,Australia,www.spiritualistchurch.com.au,Y,,,,,,Y,,Y
3169,Kialla Children's Centre Inc,Kialla Childrens Centre,Kialla,Victoria,3631,Australia,https://l.facebook.com/l.php?u=https%3A%2F%2Foffice25068.wixsite.com%2Fkiallachildrenscentr%3Ffbclid%3DIwAR05Q89IvwqxyXU_CTm0xEeH2Za6obg3Og6Nlmy46nVGV3wn_MszbnvPRc0&h=AT2aK8iq9-FaaXb8-iVyx0JORsJAMGQvc,,,,,,,,,
3170,Melbourne Anglican Foundation Trust,209 Flinders Lane,Melbourne,Victoria,3000,Australia,www.melbourneanglican.org.au/melbourne-anglican-foundation,,,,,Y,Y,,Y,
3171,The Trustee For The Tom And Minnie Harbinson Trust,209 Flinders Lane,Melbourne,VIC,3000,,www.melbourneanglican.org.au,,,,,,,,,
3172,HOPE IN A SUITCASE AUSTRALIA INC.,U 6 1d George St,Mayfield,New South Wales,2304,Australia,www.hopeinasuitcase.com.au,,,Y,Y,Y,Y,Y,Y,Y
3173,Christian Science Society Frankston Victoria Australia,Po Box 233,Frankston,Victoria,3199,Australia,,,,,,,,,,
3174,Central Park Child Care Centre,116 Burke Rd,Malvern East,Victoria,3145,Australia,www.centralparkchildcare.org.au,Y,,,,Y,,,,
3175,Youth Insearch Foundation (Aust) Inc,PO Box 422,Blacktown,NSW,2148,Australia,www.youthinsearch.org.au,,,Y,,,,,,
3176,MIFGASH BENEVOLENT INCORPORATED,16 Griffith Ave,Bentleigh East,Victoria,3165,Australia,,,,,Y,Y,Y,Y,Y,
3177,Chabad House Of Malvern/Toorak Inc.,316 Glenferrie Rd,Malvern,Victoria,3144,Australia,www.chabad.com.au,Y,,,Y,Y,,Y,,Y
3178,St John Bosco Catholic Church Niddrie,29 Muriel Street,Niddrie,VIC,3042,,pol.org.au/niddrie,,,,Y,Y,Y,Y,Y,Y
3179,Your Community Health,125 Blake Street,East Reservoir,VIC,3073,Australia,www.yourcommunityhealth.org.au,,,Y,,,,,,
3180,Kurboroo Kindergarten Incorporated,75 Bemboka Rd,Warranwood,Victoria,3134,Australia,https://www.kurboroo.vic.edu.au/,Y,,,,,,,,
3181,Rotary Youth Camp Inc,161-163 Axedale-kimbolton Rd,Axedale,Victoria,3551,Australia,https://www.campgetawayaxedale.weebly.com,,,Y,Y,Y,Y,,Y,Y
3182,LVI - Northern Yarra Landcare Network,Po Box 16,Yarra Glen,Victoria,3775,Australia,www.northernyarralandcare.com.au,,,,,Y,,,,
3183,Kidsafe Vic Inc,C/o Monash Children's Hospital,Clayton,VIC,3169,Australia,kidsafevic.com.au,,,,Y,Y,,,,
3184,The Trustee For John Russell Macpherson Fund,GPO Box 2307,Melbourne,VIC,3001,AUSTRALIA,,,,,,,,,,
3185,Woorayl Common Equity Rental Housing Co-operative Ltd,PO BOX 36,LEONGATHA,VIC,3953,AUSTRALIA,,,,Y,,,,,,
3186,Craigieburn And District First Response Team Inc,22 Hamilton Hume Pde,Craigieburn,Victoria,3064,Australia,,,,,,,,,,
3187,Guta Ra Mwari Australia,107 Icely Rd,Orange,New South Wales,2800,Australia,http://www.gutaramwari.org,,,,,Y,,,,
3188,Meadow Milburn Charitable Help Inc,1a Melby Ave,St Kilda East,Victoria,3183,Australia,,,,,,Y,,,,
3189,Affinity Quartet Incorprated,U 221 9 Commercial Rd,Melbourne,Victoria,3004,Australia,affinityquartet.com.au,,,,,,,,,
3190,WARRANDYTE MECHANICS INSTITUTE AND ARTS ASSOCIATION INCORPORATED,180-186 Yarra St,Warrandyte,Victoria,3113,Australia,http://warrandytehallarts.asn.au,,,,Y,Y,,,,
3191,Brave Hearts On The Murray Inc,Po Box 1111,Wodonga,Victoria,3689,Australia,http://www.braveheartsonthemurray.com.au,,,,Y,Y,Y,Y,Y,
3192,Villa Maria Catholic Homes Limited,486 Albert St,East Melbourne,Victoria,3002,Australia,www.vmch.com.au,,,Y,Y,Y,,Y,,Y
3193,Yarra Theological Union Limited,98-110 Albion Rd,Box Hill,Victoria,3128,Australia,www.ytu.edu.au,Y,,,,,,,,
3194,Australia For Christ Fellowship Ltd.,1070 Stud Rd,Rowville,Victoria,3178,Australia,www.acfchurch.com,,,,Y,Y,,Y,,
3195,Kibble J And D M Trust Fund,GPO Box 2307,Melbourne,VIC,3001,AUSTRALIA,,,,,,,,,,
3196,Strathbogie Ranges Conservation Management Network Inc.,1070 Sheans Creek Road,Balmattum,Victoria,3666,Australia,https://www.strathbogieranges.org.au,,,,,,,,,
3197,Christ Church Lancefield With St Paul's Romsey Anglican Churches,31-33 Chauncey St,Lancefield,Victoria,3435,Australia,https://www.lancefieldromseyanglican.org/,,,,Y,Y,Y,Y,Y,
3198,Law Institute of Victoria Limited,,,,,,www.liv.asn.au,Y,,Y,,Y,,Y,,
3199,Bellarine Common Equity Rental Housing Co-operative Limited,PO BOX 2106,GROVEDALE EAST,VIC,3216,AUSTRALIA,,,,Y,,,,,,
3200,The Islamic Schools of Victoria (Werribee College) Inc,201 Sayers Rd,Truganina,Victoria,3029,Australia,http://www.al-taqwa.vic.edu.au/,Y,,,Y,Y,Y,,Y,
3201,Guardian Network Pty Ltd,U 6 1401 Burke Rd,Kew East,Victoria,3102,Australia,http://www.guardian-network.com.au,,,Y,,,,,,
3202,Sunbury Community Health Centre Ltd,12-28 Macedon Street,Sunbury,VIC,3429,Australia,https://www.sunburycobaw.org.au,,,,Y,Y,Y,Y,Y,Y
3203,MALLEE FAMILY CARE LTD,122 Ninth St,Mildura,Victoria,3500,Australia,http://malleefamilycare.org.au,,,Y,Y,,,Y,,
3204,Good2Give,12 Holtermann St,Crows Nest,New South Wales,2065,Australia,www.good2give.ngo,,Y,Y,,,,,,
3205,Broadhurst A E Estate,GPO Box 2307,Melbourne,VIC,3001,AUSTRALIA,,,,,,,,,,
3206,Saint Thomas Mores Catholic Church Hadfield,69 North Street,Hadfield,VIC,3046,,https://stmhadfield.org.au,,,,Y,Y,Y,Y,Y,Y
3207,Women's Circus Limited,395 Barkly St,Footscray,Victoria,3011,Australia,https://www.womenscircus.org.au/,,Y,Y,Y,,Y,Y,,
3208,Australian Racing Museum Limited,400 Epsom Rd,Flemington,Victoria,3031,Australia,,,,,Y,Y,,,,
3209,Museum And Gallery Services Queensland Limited,122 Gerler Rd,Hendra,Queensland,4011,Australia,www.magsq.com.au,,,,,,,,,
3210,CALVARY ADMINISTRATION PTY LTD,L 12 135 King St,Sydney,New South Wales,2000,Australia,https://japara.com.au/,,,Y,,,,Y,,
3211,Rotary Inner Melbourne Emergency Relief Network Inc.,32 Lincoln St,East Brunswick,Victoria,3057,Australia,https://www.rimern.org.au,,,Y,,Y,Y,Y,Y,Y
3212,Yiramalay/Wesley  Studio School Scholarship Fund,Fairfield Leopold Road,Fitzroy Crossing,WA,6765,Australia,https://www.studioschools.edu.au/,Y,,,,,,,,
