,Region,Suburb,Housing_Type,Median Price - Last Quarter,Forecasted Price,Difference,Percentage Difference
1455,North Eastern Melbourne,Fairfield,All properties,420.0,427.7,7.699999999999989,1.83
1456,North Eastern Melbourne,Alphington,All properties,420.0,427.7,7.699999999999989,1.83
1457,North Eastern Melbourne,Heidelberg,All properties,430.0,419.55,-10.449999999999989,-2.43
1458,North Eastern Melbourne,Heidelberg West,All properties,430.0,419.55,-10.449999999999989,-2.43
1459,North Eastern Melbourne,Ivanhoe,All properties,430.0,431.93,1.9300000000000068,0.45
1460,North Eastern Melbourne,Ivanhoe East,All properties,430.0,431.93,1.9300000000000068,0.45
1461,North Eastern Melbourne,Mill Park,All properties,400.0,384.35,-15.649999999999975,-3.91
1462,North Eastern Melbourne,Epping,All properties,400.0,384.35,-15.649999999999975,-3.91
1463,North Eastern Melbourne,Northcote,All properties,480.0,487.5,7.5,1.56
1464,North Eastern Melbourne,Preston,All properties,420.0,417.9,-2.1000000000000227,-0.5
1465,North Eastern Melbourne,Reservoir,All properties,390.0,381.85,-8.149999999999977,-2.09
1466,North Eastern Melbourne,Thomastown,All properties,370.0,362.2,-7.800000000000011,-2.11
1467,North Eastern Melbourne,Lalor,All properties,370.0,362.2,-7.800000000000011,-2.11
1468,North Eastern Melbourne,Thornbury,All properties,400.0,406.31,6.310000000000002,1.58
1469,North Eastern Melbourne,Whittlesea,All properties,420.0,400.09,-19.910000000000025,-4.74
1470,Outer Eastern Melbourne,Bayswater,All properties,420.0,413.9,-6.100000000000023,-1.45
1471,Outer Eastern Melbourne,Boronia,All properties,420.0,402.57316666666674,-17.426833333333263,-4.15
1472,Outer Eastern Melbourne,Croydon,All properties,452.0,447.13,-4.8700000000000045,-1.08
1473,Outer Eastern Melbourne,Lilydale,All properties,452.0,447.13,-4.8700000000000045,-1.08
1474,Outer Eastern Melbourne,Ferntree Gully,All properties,440.0,431.1,-8.899999999999977,-2.02
1475,Outer Eastern Melbourne,Ringwood,All properties,430.0,415.7,-14.300000000000011,-3.33
1476,Outer Eastern Melbourne,Rowville,All properties,495.0,479.35,-15.649999999999975,-3.16
1477,Outer Eastern Melbourne,Wantirna,All properties,470.0,462.3,-7.699999999999989,-1.64
1478,Outer Eastern Melbourne,Scoresby,All properties,470.0,462.3,-7.699999999999989,-1.64
1479,Outer Eastern Melbourne,Healesville,All properties,460.0,453.95,-6.050000000000011,-1.32
1480,Outer Eastern Melbourne,Yarra Junction,All properties,460.0,453.95,-6.050000000000011,-1.32
1481,Outer Eastern Melbourne,Belgrave,All properties,460.0,453.95,-6.050000000000011,-1.32
1482,Outer Eastern Melbourne,Belgrave Heights,All properties,460.0,453.95,-6.050000000000011,-1.32
1483,Outer Eastern Melbourne,Belgrave South,All properties,460.0,453.95,-6.050000000000011,-1.32
1484,Outer Eastern Melbourne,Lilydale,All properties,460.0,453.95,-6.050000000000011,-1.32
1485,Outer Eastern Melbourne,Warburton,All properties,460.0,453.95,-6.050000000000011,-1.32
1486,Outer Eastern Melbourne,East Warburton,All properties,460.0,453.95,-6.050000000000011,-1.32
1487,South Eastern Melbourne,Berwick,All properties,450.0,435.05,-14.949999999999989,-3.32
1488,South Eastern Melbourne,Cranbourne,All properties,440.0,432.4,-7.600000000000023,-1.73
1489,South Eastern Melbourne,Dandenong,All properties,360.0,351.2,-8.800000000000011,-2.44
1490,South Eastern Melbourne,Dandenong North,All properties,390.0,372.05,-17.94999999999999,-4.6
1491,South Eastern Melbourne,Endeavour Hills,All properties,390.0,372.05,-17.94999999999999,-4.6
1492,South Eastern Melbourne,Narre Warren,All properties,420.0,408.1,-11.899999999999975,-2.83
1493,South Eastern Melbourne,Hampton Park,All properties,420.0,408.1,-11.899999999999975,-2.83
1494,South Eastern Melbourne,Noble Park,All properties,375.0,360.25,-14.75,-3.93
1495,South Eastern Melbourne,Pakenham,All properties,400.0,392.4,-7.600000000000023,-1.9
1496,South Eastern Melbourne,Springvale,All properties,400.0,399.13,-0.8700000000000045,-0.22
1497,Mornington Peninsula,Dromana,All properties,500.0,493.9,-6.100000000000023,-1.22
1498,Mornington Peninsula,Portsea,All properties,500.0,493.9,-6.100000000000023,-1.22
1499,Mornington Peninsula,Frankston,All properties,430.0,424.6,-5.399999999999977,-1.26
1500,Mornington Peninsula,Hastings,All properties,480.0,475.4,-4.600000000000023,-0.96
1501,Mornington Peninsula,Flinders,All properties,480.0,475.4,-4.600000000000023,-0.96
1502,Mornington Peninsula,Mount Eliza,All properties,600.0,595.78,-4.220000000000027,-0.7
1503,Mornington Peninsula,Mornington,All properties,600.0,595.78,-4.220000000000027,-0.7
